DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum,Quality Review - How effective is the teaching and learning,Quality Review - How well does the school assess what students are learning,Quality Review - How clearly are high expectations communicated to students and staff,Quality Review - How well do teachers work with each other,Quality Review - How safe and inclusive is the school while supporting social-emotional growth,Quality Review - How well does the school allocate and manage resources,"Quality Review - How well does the school identify, track, and meet its goals",Quality Review - How thoughtful is the school s approach to teacher development and evaluation,Quality Review - How well are school decisions evaluated and adjusted,Quality Review - Dates of Review,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent Overage/Undercredited,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
06M540,A. Philip Randolph Campus High School,High School,1503,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,80.0%,80.0%,71.0%,83.0%,83.0%,87.0%,Proficient,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,January 2017,2.85,2.66,14.2%,15.6%,1.9%,0.86,5.5%,15.2%,77.0%,5.5%,27.7%,63.3%,2.3%,7.60,88.4%,85.7%,41.7%,96.6%
06M552,Gregorio Luperon High School for Science and Mathe,High School,521,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,87.0%,92.0%,85.0%,96.0%,93.0%,95.0%,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,May 2017,2.00,2.13,78.1%,2.3%,0.4%,0.99,8.8%,41.8%,78.1%,0.0%,0.0%,100.0%,0.0%,2.70,80.0%,91.5%,22.2%,97.1%
07X221,South Bronx Preparatory: A College Board School,High School,389,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,90.0%,92.0%,86.0%,93.0%,88.0%,93.0%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,"January 14, 2015",2.81,2.56,5.4%,23.9%,0.0%,0.92,2.3%,11.1%,82.5%,1.8%,25.7%,70.4%,1.5%,12.10,64.0%,92.3%,20.4%,97.6%
07X223,The Laboratory School of Finance and Technology: X,High School,368,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,78.0%,78.0%,72.0%,81.0%,87.0%,86.0%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,4-Nov-15,3.08,3.24,6.3%,18.2%,0.0%,0.90,2.4%,10.9%,81.8%,0.8%,18.5%,80.2%,0.3%,16.10,62.3%,90.3%,29.9%,97.2%
07X259,"H.E.R.O. High (Health, Education, and Research Occ",High School,530,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,80.0%,92.0%,68.0%,94.0%,87.0%,93.0%,Well Developed,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,May 2018,2.71,2.45,10.0%,20.8%,0.8%,0.87,9.1%,19.2%,76.8%,1.5%,38.9%,57.2%,0.8%,6.10,52.5%,85.1%,41.3%,95.8%
07X334,International Community High School,High School,425,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,85.0%,81.0%,78.0%,86.0%,89.0%,90.0%,Well Developed,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,November 2017,1.79,1.82,81.4%,8.0%,0.7%,0.98,22.4%,31.3%,76.5%,4.0%,16.2%,75.3%,2.4%,12.60,89.7%,89.1%,31.0%,96.7%
07X427,Community School for Social Justice,High School,327,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,92.0%,99.0%,94.0%,99.0%,97.0%,98.0%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,"April 14, 2015",2.42,2.13,20.5%,25.7%,1.8%,0.92,15.3%,20.5%,85.0%,0.0%,22.9%,74.6%,0.6%,2.50,75.0%,81.2%,54.9%,95.7%
07X473,Mott Haven Village Preparatory High School,High School,315,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,64.0%,66.0%,66.0%,71.0%,86.0%,84.0%,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,December 2016,2.41,2.06,20.0%,31.7%,1.3%,0.93,13.0%,16.2%,85.7%,1.3%,25.1%,69.8%,1.3%,6.10,46.4%,76.7%,60.3%,97.2%
07X495,University Heights Secondary School,High School,519,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,89.0%,94.0%,85.0%,98.0%,98.0%,94.0%,Proficient,Proficient,Proficient,Well Developed,Proficient,,,,,,"March 19, 2015",3.35,3.31,2.5%,18.5%,0.2%,0.81,3.1%,7.3%,69.9%,5.2%,25.6%,63.6%,1.9%,9.90,80.0%,93.7%,18.3%,97.7%
07X500,Hostos-Lincoln Academy of Science,High School,369,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,83.0%,85.0%,75.0%,88.0%,89.0%,91.0%,Proficient,Developing,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,February 2017,3.11,2.85,3.0%,20.1%,0.5%,0.86,3.0%,10.0%,74.5%,3.0%,22.8%,71.3%,2.2%,15.00,83.3%,91.8%,26.3%,96.7%
