DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum,Quality Review - How effective is the teaching and learning,Quality Review - How well does the school assess what students are learning,Quality Review - How clearly are high expectations communicated to students and staff,Quality Review - How well do teachers work with each other,Quality Review - How safe and inclusive is the school while supporting social-emotional growth,Quality Review - How well does the school allocate and manage resources,"Quality Review - How well does the school identify, track, and meet its goals",Quality Review - How thoughtful is the school s approach to teacher development and evaluation,Quality Review - How well are school decisions evaluated and adjusted,Quality Review - Dates of Review,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent Overage/Undercredited,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
26Q415,Benjamin N. Cardozo High School,High School,3609,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Not Meeting Target,Approaching Target,Meeting Target,75.0%,75.0%,61.0%,70.0%,76.0%,78.0%,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,April-19,3.22,3.33,4.6%,13.4%,3.4%,0.51,2.5%,3.7%,42.1%,42.2%,21.5%,20.8%,13.6%,2.90,81.6%,92.0%,22.0%,96.3%
26Q430,Francis Lewis High School,High School,4492,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,83.0%,88.0%,77.0%,87.0%,76.0%,89.0%,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,October 2016,3.29,3.49,10.5%,14.6%,4.7%,0.60,3.3%,5.0%,49.3%,56.7%,6.1%,21.5%,14.9%,5.90,90.4%,92.1%,20.4%,96.8%
26Q435,Martin Van Buren High School,High School,1162,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,81.0%,80.0%,64.0%,77.0%,81.0%,82.0%,Proficient,Developing,Proficient,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,Proficient,Well Developed,May 2018,2.76,2.58,13.0%,11.5%,2.4%,0.67,7.4%,8.3%,55.9%,28.8%,45.3%,17.6%,3.2%,7.10,92.4%,87.8%,35.9%,96.7%
26Q495,Bayside High School,High School,2850,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,81.0%,87.0%,69.0%,87.0%,84.0%,89.0%,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Proficient,Proficient,March 2017,3.11,3.23,8.2%,16.6%,3.7%,0.52,2.9%,5.9%,41.6%,37.9%,13.1%,25.0%,19.8%,10.90,93.0%,92.8%,21.9%,97.0%
26Q566,"Queens High School of Teaching, Liberal Arts and t",High School,1070,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Not Meeting Target,Meeting Target,59.0%,57.0%,61.0%,52.0%,84.0%,70.0%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,April 2018,2.88,2.68,2.4%,20.1%,0.2%,0.41,1.9%,2.9%,32.9%,20.7%,52.6%,14.8%,7.2%,2.70,82.8%,90.0%,30.6%,95.7%
27Q260,Frederick Douglass Academy VI High School,High School,346,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Not Meeting Target,Not Meeting Target,Approaching Target,73.0%,76.0%,62.0%,77.0%,76.0%,77.0%,Proficient,Proficient,Proficient,Proficient,Proficient,Well Developed,Well Developed,Proficient,Well Developed,Proficient,May 2017,2.39,2.04,30.3%,19.9%,1.7%,0.88,33.8%,19.4%,65.9%,1.2%,49.1%,46.2%,0.6%,4.90,76.9%,78.2%,59.2%,97.1%
27Q262,Channel View School for Research,High School,553,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,81.0%,84.0%,72.0%,85.0%,89.0%,88.0%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,"May 15, 2015",3.01,2.76,1.4%,12.5%,1.1%,0.63,0.9%,2.9%,52.4%,7.1%,45.6%,31.6%,14.1%,4.80,71.6%,89.7%,36.3%,95.8%
27Q302,"Queens High School for Information, Research, and",High School,466,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,86.0%,96.0%,80.0%,98.0%,90.0%,96.0%,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,Proficient,March 2017,2.61,2.34,21.7%,20.8%,0.9%,0.81,11.2%,10.9%,66.1%,5.2%,40.8%,48.3%,3.2%,5.00,86.7%,84.7%,42.5%,96.9%
27Q308,Robert H. Goddard High School of Communication Art,High School,629,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,84.0%,86.0%,78.0%,88.0%,87.0%,90.0%,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,April-19,3.01,2.79,3.8%,19.4%,2.5%,0.57,1.7%,3.8%,47.7%,26.2%,7.5%,37.7%,23.8%,8.90,94.7%,93.3%,18.9%,97.1%
27Q309,Academy of Medical Technology: A College Board Sch,High School,400,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,78.0%,81.0%,72.0%,80.0%,89.0%,87.0%,Proficient,Developing,Proficient,Well Developed,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,December 2017,2.69,2.32,16.8%,15.5%,0.3%,0.83,6.5%,8.5%,70.3%,7.5%,38.3%,47.5%,4.3%,3.70,88.0%,85.7%,44.4%,97.1%
27Q314,Epic High School - South,High School,382,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Approaching Target,77.0%,88.0%,73.0%,91.0%,88.0%,94.0%,Proficient,Developing,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,May 2018,2.66,2.45,8.9%,19.4%,6.5%,0.66,9.9%,6.5%,57.3%,27.5%,31.9%,28.5%,3.1%,3.10,55.6%,84.3%,51.6%,95.3%
27Q323,Scholars' Academy,High School,691,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,84.0%,80.0%,78.0%,85.0%,93.0%,85.0%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,7-Jan-15,3.85,4.05,0.0%,14.8%,6.4%,0.35,0.1%,1.3%,24.3%,14.5%,20.7%,20.8%,42.7%,14.10,74.3%,93.5%,17.3%,96.4%
27Q324,Rockaway Park High School for Environmental Sustai,High School,304,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,79.0%,80.0%,68.0%,86.0%,80.0%,89.0%,Proficient,Developing,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Well Developed,Proficient,November 2017,2.57,2.25,12.2%,29.3%,0.3%,0.85,17.1%,16.8%,75.7%,3.0%,43.1%,40.1%,9.2%,8.40,91.7%,77.6%,62.7%,96.7%
27Q334,Epic High School - North,High School,411,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,71.0%,61.0%,66.0%,76.0%,92.0%,82.0%,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Proficient,Proficient,April 2018,2.72,2.53,9.7%,15.3%,0.0%,0.69,8.8%,7.3%,58.2%,27.3%,16.8%,41.4%,5.4%,0.90,55.6%,85.1%,45.2%,97.5%
27Q351,Rockaway Collegiate High School,High School,306,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,78.0%,64.0%,59.0%,79.0%,79.0%,78.0%,Proficient,Developing,Proficient,Proficient,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,March 2018,2.47,2.26,8.2%,30.4%,9.8%,0.83,14.1%,10.1%,73.9%,2.9%,55.9%,35.3%,5.2%,0.80,66.7%,79.7%,58.3%,94.6%
27Q400,August Martin High School,High School,311,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,82.0%,90.0%,72.0%,95.0%,92.0%,90.0%,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,April 2018,2.40,2.18,6.1%,23.2%,1.0%,0.72,11.9%,13.2%,62.4%,12.5%,66.6%,14.8%,1.3%,4.10,64.3%,88.5%,37.8%,99.2%
27Q475,Richmond Hill High School,High School,1576,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,77.0%,80.0%,69.0%,84.0%,88.0%,86.0%,Well Developed,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,March 2018,2.68,2.54,23.0%,14.3%,3.9%,0.77,8.1%,7.3%,62.4%,31.5%,12.3%,45.6%,4.1%,5.90,84.7%,87.7%,35.2%,96.0%
27Q480,John Adams High School,High School,2366,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,79.0%,78.0%,65.0%,84.0%,85.0%,83.0%,Well Developed,Proficient,Proficient,Proficient,Well Developed,Well Developed,Proficient,Proficient,Well Developed,Well Developed,May 2017,2.71,2.49,13.9%,14.0%,4.6%,0.75,9.9%,11.5%,61.5%,36.1%,24.5%,32.2%,2.7%,7.10,65.7%,87.0%,38.3%,95.8%
27Q650,"High School for Construction Trades, Engineering a",High School,1066,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,84.0%,90.0%,77.0%,90.0%,90.0%,90.0%,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,,,,,,"March 13, 2015",3.28,3.35,1.6%,16.2%,0.3%,0.53,0.4%,1.9%,42.1%,30.8%,9.0%,36.5%,11.9%,9.40,81.5%,93.9%,16.8%,96.0%
28Q157,J.H.S. 157 Stephen A. Halsey,High School,38,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,86.0%,85.0%,78.0%,88.0%,89.0%,90.0%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,"January 6, 2015",2.41,2.41,28.9%,31.6%,21.1%,0.82,0.0%,13.2%,73.7%,28.9%,15.8%,23.7%,31.6%,13.90,75.0%,92.3%,26.3%,96.9%
28Q167,Metropolitan Expeditionary Learning School,High School,454,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,80.0%,84.0%,73.0%,88.0%,92.0%,89.0%,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,11-Feb-15,2.98,2.82,0.7%,19.4%,2.0%,0.53,0.7%,4.4%,43.6%,16.1%,18.3%,44.1%,15.2%,9.10,83.6%,93.6%,18.7%,96.8%
28Q284,York Early College Academy,High School,368,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,86.0%,86.0%,76.0%,87.0%,93.0%,91.0%,Well Developed,Proficient,Proficient,Well Developed,Proficient,,,,,,"January 21, 2015",3.45,3.61,0.0%,9.2%,0.5%,0.50,0.5%,4.6%,39.9%,27.2%,51.4%,9.2%,1.1%,3.60,93.3%,93.3%,17.3%,97.0%
28Q310,Queens Collegiate: A College Board School,High School,416,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,78.0%,79.0%,65.0%,80.0%,85.0%,85.0%,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,April 2018,2.78,2.66,12.3%,14.9%,1.2%,0.69,5.0%,6.3%,56.7%,30.3%,39.9%,19.2%,1.4%,11.10,83.0%,86.2%,40.0%,94.6%
28Q325,Hillside Arts & Letters Academy,High School,447,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,89.0%,96.0%,80.0%,97.0%,88.0%,95.0%,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,March 2017,2.69,2.41,14.1%,19.2%,1.6%,0.71,7.6%,8.1%,61.5%,20.1%,41.2%,29.3%,2.5%,4.10,79.3%,86.8%,39.8%,98.2%
28Q328,High School for Community Leadership,High School,464,Meeting Target,Exceeding Target,,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,83.0%,97.0%,71.0%,97.0%,92.0%,93.0%,Proficient,Proficient,Proficient,Well Developed,Well Developed,,,,,,"February 12, 2015",2.83,2.62,14.9%,15.5%,0.6%,0.69,7.1%,9.7%,57.5%,23.1%,35.3%,28.0%,4.5%,9.10,82.1%,84.1%,51.9%,97.3%
28Q350,Jamaica Gateway to the Sciences,High School,494,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,88.0%,88.0%,77.0%,93.0%,89.0%,90.0%,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,29-Mar-16,2.91,2.95,9.9%,14.8%,0.6%,0.65,6.7%,10.9%,55.9%,38.1%,34.4%,16.0%,2.6%,8.10,76.7%,89.8%,33.5%,97.2%
28Q440,Forest Hills High School,High School,3806,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Not Meeting Target,Meeting Target,76.0%,66.0%,61.0%,53.0%,77.0%,66.0%,Proficient,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Proficient,Proficient,Proficient,Well Developed,May 2017,3.19,3.25,8.6%,15.9%,4.5%,0.59,3.3%,4.6%,46.3%,24.1%,7.1%,35.4%,29.5%,.,88.5%,88.2%,28.7%,96.1%
28Q505,Hillcrest High School,High School,3300,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,81.0%,83.0%,68.0%,83.0%,81.0%,87.0%,Well Developed,Well Developed,Proficient,Well Developed,Proficient,,,,,,14-Apr-16,2.86,2.74,18.0%,10.9%,4.5%,0.73,9.5%,8.9%,60.2%,32.5%,26.3%,33.7%,3.2%,5.50,87.4%,86.6%,33.9%,96.3%
28Q620,Thomas A. Edison Career and Technical Education Hi,High School,2196,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Approaching Target,Meeting Target,Meeting Target,81.0%,79.0%,74.0%,80.0%,81.0%,83.0%,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,May 2017,3.39,3.51,2.2%,13.5%,5.4%,0.61,1.9%,4.3%,51.9%,48.3%,17.8%,23.2%,4.1%,6.90,85.0%,93.8%,14.1%,96.6%
28Q680,Queens Gateway to Health Sciences Secondary School,High School,426,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Not Meeting Target,Meeting Target,71.0%,65.0%,61.0%,63.0%,78.0%,67.0%,Well Developed,Proficient,Proficient,Well Developed,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,December 2017,3.54,3.59,1.9%,13.1%,1.2%,0.52,0.9%,2.8%,44.1%,45.1%,26.5%,11.0%,5.2%,7.20,70.0%,93.1%,18.4%,96.1%
28Q686,Queens Metropolitan High School,High School,1104,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,81.0%,84.0%,75.0%,87.0%,86.0%,88.0%,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,May 2018,3.08,2.94,3.2%,17.2%,4.5%,0.44,1.4%,3.3%,35.0%,10.1%,3.7%,42.5%,42.7%,3.00,88.2%,92.0%,22.8%,95.9%
28Q687,Queens High School for the Sciences at York Colleg,High School,475,Meeting Target,Approaching Target,Exceeding Target,Approaching Target,Meeting Target,Meeting Target,Exceeding Target,80.0%,69.0%,77.0%,59.0%,85.0%,76.0%,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Proficient,Proficient,February 2018,4.06,4.31,0.0%,0.0%,0.0%,0.49,0.6%,2.1%,39.4%,81.9%,3.2%,4.0%,6.1%,2.70,81.5%,96.9%,7.8%,97.2%
28Q690,High School for Law Enforcement and Public Safety,High School,462,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,73.0%,81.0%,67.0%,84.0%,87.0%,85.0%,Proficient,Proficient,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,March 2017,2.62,2.42,6.9%,21.2%,9.1%,0.69,8.4%,12.1%,60.0%,12.3%,57.8%,24.7%,1.7%,5.60,74.2%,86.8%,37.2%,97.1%
28Q896,"Young Women's Leadership School, Queens",High School,299,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,81.0%,82.0%,74.0%,83.0%,88.0%,89.0%,Well Developed,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,October-18,3.40,3.24,1.7%,16.4%,0.0%,0.60,0.3%,7.0%,49.5%,35.8%,43.1%,10.4%,3.3%,6.10,91.4%,92.1%,26.4%,98.1%
29Q243,Institute for Health Professions at Cambria Height,High School,413,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,83.0%,93.0%,77.0%,96.0%,88.0%,95.0%,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,January 2017,2.85,2.53,9.7%,10.7%,1.0%,0.68,11.1%,9.0%,60.3%,10.7%,70.5%,13.1%,1.9%,6.10,65.6%,87.0%,43.9%,96.9%
29Q248,Queens Preparatory Academy,High School,387,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,58.0%,55.0%,60.0%,47.0%,86.0%,68.0%,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,March 2017,2.51,2.24,11.6%,14.0%,1.0%,0.66,23.5%,13.4%,58.4%,3.6%,81.9%,8.5%,1.8%,14.10,79.2%,81.0%,45.8%,95.2%
29Q259,Pathways College Preparatory School: A College Boa,High School,353,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,80.0%,89.0%,66.0%,90.0%,91.0%,90.0%,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,March-19,2.79,2.42,4.8%,14.7%,1.1%,0.52,5.1%,7.1%,44.5%,6.5%,85.3%,4.5%,1.7%,2.90,83.3%,90.1%,23.8%,97.2%
29Q265,Excelsior Preparatory High School,High School,438,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,73.0%,91.0%,69.0%,92.0%,90.0%,90.0%,Proficient,Proficient,Proficient,Well Developed,Well Developed,Proficient,Well Developed,Proficient,Well Developed,Proficient,April-19,2.66,2.33,7.8%,16.0%,3.0%,0.59,11.6%,9.8%,49.3%,2.5%,82.2%,8.2%,2.5%,9.00,96.2%,86.3%,38.5%,97.1%
29Q272,George Washington Carver High School for the Scien,High School,417,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,84.0%,84.0%,70.0%,83.0%,86.0%,87.0%,Proficient,Developing,Developing,Well Developed,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,May 2018,2.72,2.48,5.0%,17.3%,2.6%,0.62,12.9%,10.1%,51.8%,4.3%,73.4%,15.1%,1.2%,15.10,92.6%,84.7%,37.4%,94.1%
29Q283,Preparatory Academy for Writers: A College Board S,High School,371,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,83.0%,71.0%,80.0%,76.0%,82.0%,81.0%,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,November-18,2.89,2.65,2.4%,15.1%,2.2%,0.53,9.2%,5.9%,45.3%,3.0%,90.3%,5.7%,0.0%,10.00,97.0%,84.5%,41.6%,95.8%
29Q313,Benjamin Franklin High School for Finance & Inform,High School,389,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,85.0%,82.0%,77.0%,85.0%,85.0%,87.0%,Developing,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Developing,November 2016,2.64,2.40,13.1%,17.7%,4.4%,0.69,8.5%,11.3%,57.1%,14.7%,60.2%,16.5%,2.1%,0.90,90.0%,84.9%,47.6%,97.5%
29Q326,Cambria Heights Academy,High School,370,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,76.0%,80.0%,72.0%,87.0%,90.0%,89.0%,Proficient,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Proficient,Proficient,Proficient,Proficient,April 2018,2.63,2.38,10.3%,17.3%,0.3%,0.60,7.8%,9.2%,51.9%,14.6%,72.4%,9.7%,1.6%,9.00,75.0%,87.2%,33.8%,97.4%
29Q327,Eagle Academy for Young Men III,High School,276,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,69.0%,66.0%,62.0%,75.0%,89.0%,78.0%,Proficient,Proficient,Proficient,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,May 2018,2.61,2.37,0.4%,24.3%,4.3%,0.52,3.6%,9.1%,43.8%,2.2%,85.9%,4.3%,1.8%,1.90,75.7%,86.8%,41.9%,96.5%
29Q492,"Mathematics, Science Research and Technology Magne",High School,407,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,76.0%,83.0%,70.0%,89.0%,84.0%,87.0%,Well Developed,Proficient,Proficient,Well Developed,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,May 2017,2.67,2.52,14.5%,11.1%,1.0%,0.70,22.4%,10.8%,58.7%,16.2%,68.8%,11.3%,1.5%,1.50,62.5%,84.2%,43.1%,97.2%
29Q498,Humanities & Arts Magnet High School,High School,439,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,69.0%,70.0%,65.0%,79.0%,92.0%,84.0%,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,February 2018,2.62,2.28,11.4%,17.1%,0.2%,0.68,19.6%,11.8%,56.9%,6.2%,74.5%,15.0%,1.6%,2.90,84.6%,86.0%,39.8%,96.1%
30Q258,Energy Tech High School,High School,533,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,85.0%,91.0%,77.0%,93.0%,91.0%,92.0%,Proficient,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,January-19,3.01,3.05,2.6%,16.3%,0.2%,0.63,2.8%,3.8%,54.4%,16.7%,9.4%,57.8%,12.4%,6.10,63.9%,91.1%,26.1%,98.6%
30Q286,"Young Women's Leadership School, Astoria",High School,320,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,84.0%,81.0%,80.0%,71.0%,89.0%,82.0%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,Proficient,Well Developed,Proficient,January 2017,3.32,3.24,3.4%,13.1%,0.6%,0.73,1.3%,3.8%,63.4%,36.6%,7.5%,39.4%,15.6%,3.90,75.7%,93.7%,17.8%,96.7%
30Q301,Academy for Careers in Television and Film,High School,562,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,85.0%,92.0%,81.0%,96.0%,92.0%,95.0%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,17-Nov-15,3.13,2.97,1.6%,21.4%,0.4%,0.53,1.6%,3.4%,42.3%,7.1%,11.7%,55.9%,18.7%,6.50,82.4%,93.1%,19.2%,98.5%
30Q445,William Cullen Bryant High School,High School,2344,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,70.0%,67.0%,65.0%,68.0%,81.0%,76.0%,Proficient,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,March 2017,2.84,2.76,18.6%,14.7%,4.3%,0.80,10.3%,10.0%,68.9%,26.2%,6.7%,51.5%,13.7%,7.90,64.7%,88.1%,29.7%,96.2%
30Q450,Long Island City High School,High School,2252,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,77.0%,81.0%,66.0%,85.0%,87.0%,88.0%,Well Developed,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,March 2018,2.82,2.68,11.4%,16.5%,0.7%,0.80,5.7%,7.9%,71.5%,14.6%,10.3%,67.4%,5.9%,7.10,77.4%,87.6%,35.2%,95.2%
30Q501,Frank Sinatra School of the Arts High School,High School,853,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,83.0%,84.0%,78.0%,87.0%,88.0%,91.0%,Well Developed,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,April-19,3.59,3.56,0.8%,18.8%,0.0%,0.36,0.4%,2.1%,25.6%,11.4%,13.2%,33.1%,35.9%,1.90,94.1%,92.3%,21.1%,97.3%
30Q502,Information Technology High School,High School,1011,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,74.0%,80.0%,68.0%,83.0%,86.0%,85.0%,Proficient,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,November 2016,2.79,2.78,7.3%,19.3%,5.8%,0.76,4.2%,9.9%,68.1%,20.8%,11.1%,59.5%,7.3%,0.80,90.6%,88.0%,30.7%,96.3%
30Q555,Newcomers High School,High School,828,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,82.0%,85.0%,79.0%,90.0%,87.0%,91.0%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,29-May-15,1.85,2.22,78.3%,0.8%,0.0%,0.97,24.3%,22.1%,59.1%,27.9%,1.0%,63.9%,5.8%,0.90,88.1%,88.9%,28.9%,96.0%
30Q575,Academy of American Studies,High School,1007,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Exceeding Target,73.0%,58.0%,63.0%,66.0%,82.0%,76.0%,Proficient,Proficient,Well Developed,Well Developed,Proficient,Proficient,Proficient,Proficient,Well Developed,Proficient,March 2018,3.49,3.55,2.6%,7.4%,0.0%,0.53,1.5%,1.9%,43.6%,25.6%,4.4%,35.2%,34.6%,7.90,83.3%,92.5%,22.0%,95.9%
