School,District,A1. Classroom Salaries,A2. Other Instructional Salaries,A3. Instructional Benefits,A4. Professional Development,GROUP A TOTAL,B1. School Administrative Salaries,B2. School Administrative Benefits,B3. Other School Administrative Expenditures,GROUP B TOTAL,C1. All Other Salaries,C2. All Other Benefits,C3. All Other Non-personnel Expenditures,GROUP C TOTAL,D. Total School Level (A + B + C),I. Total Spending (D + H),J. Total School Level Local/State Spending,K1. Federal Title I Part A,K2. Federal Title II Part A,K3. Federal Title III Part A,K4. Federal Title IV Part A,K5. IDEA,K6. All Other Federal,GROUP K TOTAL,N. Total District and School Spending (J + K + L + M),O. Special Education,P. ELL/MLL Services,Q. Pupil Services,R. Community Schools Programs,S. BOCES Services,T. Prekindergarten
PS 721 MANHATTAN OCC TRNING CTR,NYC SPEC SCHOOLS - DIST 75 ,"$17,054.09","$29,246.48","$25,652.87",$0.00,"$71,953.45","$1,879.19","$1,041.17",$0.00,"$2,920.37","$3,154.78","$1,747.91",$791.71,"$5,694.40","$80,568.23","$88,270.31","$79,298.62",$15.55,$0.00,$29.24,$0.00,"$1,202.42",$22.39,"$1,269.61","$88,270.31","$72,732.64","$3,968.99","$4,902.69",$0.00,$0.00,$0.00
PS 721 STEPHEN MCSWEENEY SCHOOL,NYC SPEC SCHOOLS - DIST 75 ,"$15,728.25","$20,913.39","$20,301.33",$4.68,"$56,947.64","$1,437.22",$796.29,$0.00,"$2,233.51","$1,382.11",$765.76,$295.35,"$2,443.22","$61,624.37","$69,326.44","$61,000.08",$0.33,$0.00,$40.02,$0.00,$551.48,$32.46,$624.29,"$69,326.44","$57,300.94","$6,085.95","$2,147.87",$0.00,$0.00,$0.00
PS 723,NYC SPEC SCHOOLS - DIST 75 ,"$19,121.75","$21,069.16","$22,267.81",$0.00,"$62,458.72","$1,461.29",$809.63,$0.00,"$2,270.91",$875.83,$485.25,$428.20,"$1,789.28","$66,518.91","$74,220.99","$66,223.63",$49.70,$0.00,$6.07,$50.67,$156.17,$32.67,$295.29,"$74,220.99","$63,447.17","$4,339.05","$1,361.08",$0.00,$0.00,$0.00
PS 77,NYC SPEC SCHOOLS - DIST 75 ,"$23,350.96","$28,261.54","$28,595.95",$0.00,"$80,208.46","$1,724.59",$955.51,$0.00,"$2,680.10","$1,348.48",$747.13,$565.81,"$2,661.42","$85,549.98","$93,252.05","$84,986.64",$35.68,$0.00,$0.00,$0.00,$525.92,$1.74,$563.33,"$93,252.05","$80,729.62","$3,232.83","$2,095.61",$0.00,$0.00,$0.00
PS 771,NYC SPEC SCHOOLS - DIST 75 ,"$21,869.00","$36,228.19","$32,188.80",$0.00,"$90,285.99","$1,706.67",$945.58,$0.00,"$2,652.25","$1,529.78",$847.57,$502.58,"$2,879.93","$95,818.17","$103,520.24","$95,218.39",$5.34,$0.00,$22.41,$0.00,$567.02,$5.00,$599.77,"$103,520.24","$90,725.45","$19,271.11","$2,377.35",$0.00,$0.00,$0.00
PS 79 HORAN SCHOOL,NYC SPEC SCHOOLS - DIST 75 ,"$16,247.43","$23,908.87","$22,248.63",$121.49,"$62,526.43","$2,191.57","$1,214.24",$0.00,"$3,405.81","$1,495.08",$828.35,$403.99,"$2,727.43","$68,659.68","$76,361.76","$67,711.97",$10.95,$0.00,$42.48,$0.00,$861.76,$32.50,$947.70,"$76,361.76","$62,900.95","$9,544.92","$2,323.44",$0.00,$0.00,$0.00
PS 811,NYC SPEC SCHOOLS - DIST 75 ,"$16,632.47","$25,260.34","$23,210.75",$77.02,"$65,180.57","$1,564.09",$866.59,$0.00,"$2,430.68","$1,079.40",$598.04,$486.54,"$2,163.99","$69,775.25","$77,477.32","$69,169.98",$78.35,$0.00,$47.29,$0.00,$412.63,$66.99,$605.26,"$77,477.32","$65,636.83","$4,204.00","$1,677.45",$0.00,$0.00,$0.00
PS 811 CONNIE LEKAS SCHOOL,NYC SPEC SCHOOLS - DIST 75 ,"$15,315.10","$30,789.00","$25,544.02",$25.75,"$71,673.87","$2,068.34","$1,145.96",$0.00,"$3,214.31","$1,488.12",$824.49,$723.92,"$3,036.54","$77,924.72","$85,626.79","$76,911.19",$66.36,$0.00,$60.60,$0.00,$843.46,$43.10,"$1,013.53","$85,626.79","$72,275.01","$5,840.05","$2,312.62",$0.00,$0.00,$0.00
PS 811 MICKEY MANTLE SCHOOL,NYC SPEC SCHOOLS - DIST 75 ,"$19,748.64","$27,560.82","$26,211.84",$0.00,"$73,521.30","$1,616.02",$895.36,$0.00,"$2,511.38","$2,794.80","$1,548.46",$513.10,"$4,856.36","$80,889.05","$88,591.13","$80,079.71",$59.95,$0.00,$0.00,$0.00,$749.38,$0.00,$809.34,"$88,591.13","$74,222.33","$9,708.39","$4,343.26",$0.00,$0.00,"$79,828.46"
PS 9,NYC SPEC SCHOOLS - DIST 75 ,"$16,833.56","$22,369.36","$21,720.41",$2.32,"$60,925.65","$1,178.56",$652.98,$0.00,"$1,831.54","$1,841.74","$1,020.42",$423.60,"$3,285.77","$66,042.96","$73,745.04","$65,677.33",$42.52,$0.00,$27.14,$0.00,$295.98,$0.00,$365.63,"$73,745.04","$61,317.82","$2,148.26","$2,862.16",$0.00,$0.00,$0.00
PS 94,NYC SPEC SCHOOLS - DIST 75 ,"$20,025.73","$29,144.45","$27,242.78",$0.00,"$76,412.97","$1,741.03",$964.62,$0.00,"$2,705.66","$1,211.97",$671.49,$487.49,"$2,370.96","$81,489.58","$89,191.66","$80,804.85",$88.75,$0.00,$14.50,$0.00,$581.48,$0.00,$684.74,"$89,191.66","$76,861.91","$3,817.64","$1,883.47",$0.00,$0.00,$0.00
PS 993,NYC SPEC SCHOOLS - DIST 75 ,"$18,635.03","$33,405.06","$28,832.86",$0.00,"$80,872.95","$1,108.60",$614.22,$0.00,"$1,722.82",$735.35,$407.42,$447.44,"$1,590.22","$84,185.98","$91,888.06","$83,730.92",$6.53,$0.00,$58.91,$0.00,$387.05,$2.58,$455.06,"$91,888.06","$81,279.93","$3,339.51","$1,142.77",$0.00,$0.00,$0.00
PS Q4,NYC SPEC SCHOOLS - DIST 75 ,"$24,065.44","$25,825.19","$27,641.95",$0.00,"$77,532.59","$1,863.32","$1,032.38",$0.00,"$2,895.70","$1,521.26",$842.86,$397.23,"$2,761.35","$83,189.64","$90,891.72","$82,494.80",$19.18,$0.00,$38.46,$0.00,$631.80,$5.40,$694.84,"$90,891.72","$77,909.35","$7,022.39","$2,364.12",$0.00,$0.00,"$98,358.58"
PS Q811,NYC SPEC SCHOOLS - DIST 75 ,"$17,590.46","$30,538.17","$26,665.71",$0.00,"$74,794.35","$1,583.15",$877.14,$0.00,"$2,460.29","$1,129.25",$625.66,$651.90,"$2,406.81","$79,661.45","$87,363.52","$78,891.16",$18.74,$0.00,$32.23,$0.00,$695.74,$23.58,$770.29,"$87,363.52","$75,404.91","$3,293.80","$1,754.91",$0.00,$0.00,$0.00
QUEENS TRANSITION CENTER,NYC SPEC SCHOOLS - DIST 75 ,"$16,803.04","$18,343.87","$19,473.18",$0.00,"$54,620.08","$1,481.80",$820.99,$0.00,"$2,302.79","$3,303.08","$1,830.08",$768.64,"$5,901.80","$62,824.67","$70,526.75","$61,934.67",$66.37,$0.00,$53.16,$0.00,$757.79,$12.67,$890.00,"$70,526.75","$55,319.23","$2,971.14","$5,133.16",$0.00,$0.00,$0.00
RICHARD H HUNGERFORD SCHOOL (THE),NYC SPEC SCHOOLS - DIST 75 ,"$16,755.05","$36,516.75","$29,515.29",$0.00,"$82,787.09","$1,672.77",$926.80,$0.00,"$2,599.57","$1,239.29",$686.63,$422.02,"$2,347.94","$87,734.60","$95,436.68","$87,228.23",$0.00,$0.00,$31.92,$0.00,$450.48,$23.97,$506.36,"$95,436.68","$83,158.54","$7,283.99","$1,925.92",$0.00,$0.00,$0.00
RIVERVIEW SCHOOL (THE),NYC SPEC SCHOOLS - DIST 75 ,"$15,795.45","$24,221.67","$22,171.52",$132.93,"$62,321.57","$1,556.52",$862.39,$0.00,"$2,418.91",$447.12,$247.72,$414.11,"$1,108.95","$65,849.44","$73,551.52","$65,426.77",$35.21,$0.00,$11.70,$0.00,$370.58,$5.17,$422.67,"$73,551.52","$62,710.42","$3,823.90",$694.84,$0.00,$0.00,$0.00
ROBERT E PEARY SCHOOL,NYC SPEC SCHOOLS - DIST 75 ,"$19,226.28","$25,443.99","$24,749.60",$0.00,"$69,419.87","$1,217.32",$674.46,$0.00,"$1,891.78","$1,582.32",$876.68,$386.89,"$2,845.90","$74,157.55","$81,859.63","$73,639.91",$21.59,$0.00,$39.17,$0.00,$456.88,$0.00,$517.64,"$81,859.63","$69,755.99","$3,700.95","$2,459.00",$0.00,$0.00,"$61,542.38"
SOUTH RICHMOND HIGH SCH IS/PS 25,NYC SPEC SCHOOLS - DIST 75 ,"$17,181.02","$18,049.91","$19,519.72",$11.48,"$54,762.13","$1,296.86",$718.53,$0.00,"$2,015.39","$2,021.40","$1,119.96",$591.97,"$3,733.34","$60,510.86","$68,212.93","$59,913.91",$23.01,$0.00,$4.29,$0.00,$554.56,$15.09,$596.94,"$68,212.93","$55,287.58","$8,358.20","$3,141.36",$0.00,$0.00,"$71,526.63"
VIDA BOGART SCHOOL FOR ALL CHILDREN,NYC SPEC SCHOOLS - DIST 75 ,"$19,906.27","$19,878.99","$22,043.06",$2.57,"$61,830.90","$1,673.57",$927.24,$0.00,"$2,600.81","$1,277.21",$707.64,$624.11,"$2,608.96","$67,040.67","$74,742.75","$66,465.61",$144.75,$0.00,$13.38,$0.00,$416.93,$0.00,$575.06,"$74,742.75","$62,409.92","$6,040.75","$1,984.85",$0.00,$0.00,$0.00
